exercise_id,display_name,instructions
EX216,Straight Bar Overhead Pushdown,"Step 1: Set the cable pulley to the lowest position with a straight bar attachment.
Step 2: Face the machine, gripping the bar with elbows bent at your sides.
Step 3: Press the bar down and forward in an arc, extending your elbows.
Step 4: Let the bar return with control, bending your elbows back to the start."
EX217,Rope Overhead Pushdown,"Step 1: Set the cable pulley to the lowest position with a rope attachment.
Step 2: Face the machine, gripping the rope with elbows bent at your sides.
Step 3: Press the rope down and forward in an arc, spreading the ends as you extend.
Step 4: Let the rope return with control, bending your elbows back to the start."
EX218,EZ-Bar Overhead Pushdown,"Step 1: Set the cable pulley to the lowest position with an EZ-bar attachment.
Step 2: Face the machine, gripping the bar with elbows bent at your sides.
Step 3: Press the bar down and forward in an arc, extending your elbows.
Step 4: Let the bar return with control, bending your elbows back to the start."
EX219,EZ-Bar Skull Crusher,"Step 1: Lie on a flat bench holding an EZ-bar with a narrow grip on the angled portions.
Step 2: Arms extended over your chest, not over your face.
Step 3: Lower the bar toward your forehead by bending only at your elbows.
Step 4: Extend your elbows to press the bar back up to the starting position."
EX220,Straight Bar Front Raise,"Step 1: Set the cable pulley to the lowest position with a straight bar attachment.
Step 2: Stand facing away from the machine, gripping the bar with arms at your sides.
Step 3: Raise the bar in front of you until arms are parallel to the floor.
Step 4: Lower the bar back to your sides with control."
EX221,Close Grip Lat Pulldown,"Step 1: Sit at the lat pulldown machine with thighs secured under the pads.
Step 2: Grip the bar with hands close together (about shoulder-width or narrower), arms extended.
Step 3: Pull the bar down to your upper chest by driving your elbows toward your hips.
Step 4: Let the bar rise with control, fully extending your arms."
EX222,Neutral Grip Lat Pulldown,"Step 1: Sit at the lat pulldown machine with thighs secured under the pads.
Step 2: Grip the neutral-grip handles with palms facing each other, arms extended.
Step 3: Pull the handles down to your upper chest by driving your elbows down and back.
Step 4: Let the handles rise with control, fully extending your arms."
EX223,Rope Pull Through,"Step 1: Set the cable pulley to the lowest position with a rope attachment.
Step 2: Stand with feet shoulder-width apart, holding the rope between your legs.
Step 3: Drive your hips forward explosively, standing tall.
Step 4: Hinge your hips back, letting the cable pull your hands back through your legs."
EX224,Rope Upright Row,"Step 1: Set the cable pulley to the lowest position with a rope attachment.
Step 2: Grip the rope with both hands, standing tall with the rope against your thighs.
Step 3: Pull the rope up along your body toward your chin, leading with your elbows.
Step 4: Lower the rope back down with control."
EX225,EZ-Bar Upright Row,"Step 1: Set the cable pulley to the lowest position with an EZ-bar attachment.
Step 2: Grip the angled portions of the bar, standing tall with the bar against your thighs.
Step 3: Pull the bar up along your body toward your chin, leading with your elbows.
Step 4: Lower the bar back down with control."
EX226,Rope Front Raise,"Step 1: Set the cable pulley to the lowest position with a rope attachment.
Step 2: Stand facing away from the machine, gripping the rope with arms at your sides.
Step 3: Raise the rope in front of you until arms are parallel to the floor.
Step 4: Lower the rope back to your sides with control."
EX227,Neutral Grip Seated Cable Row,"Step 1: Sit at the cable row station with feet on the footplates, knees slightly bent.
Step 2: Grip the neutral-grip handles with palms facing each other, arms extended.
Step 3: Pull the handles toward your lower ribcage, driving your elbows back.
Step 4: Extend your arms forward with control, letting your shoulders reach slightly forward for a stretch."
EX228,Wide Grip Seated Cable Row,"Step 1: Sit at the cable row station with feet on the footplates, knees slightly bent.
Step 2: Grip the wide bar with hands wider than shoulder-width, arms extended.
Step 3: Pull the bar toward your lower ribcage, driving your elbows out and back.
Step 4: Extend your arms forward with control, letting your shoulders reach slightly forward for a stretch."
EX229,Rope Lat Prayer,"Step 1: Set the cable pulley to a high position with a rope attachment.
Step 2: Kneel facing the cable, gripping the rope with arms extended overhead.
Step 3: Pull the rope down in an arc toward your thighs, keeping your arms straight and squeezing your lats.
Step 4: Let the rope rise back up with control, feeling a stretch in your lats."
EX230,EZ-Bar Lat Prayer,"Step 1: Set the cable pulley to a high position with an EZ-bar attachment.
Step 2: Kneel facing the cable, gripping the bar with arms extended overhead.
Step 3: Pull the bar down in an arc toward your thighs, keeping your arms straight and squeezing your lats.
Step 4: Let the bar rise back up with control, feeling a stretch in your lats."
